Instance, OptCost, Algorithm, Run, BestCost, Steps, Evaluations, TimeMicros
data\chr20a.dat,2192,Heuristic,1,10042,0,0,9
data\chr20a.dat,2192,Greedy,1,3480,26,759,112
data\chr20a.dat,2192,Steepest,1,3840,8,1710,230
data\chr20a.dat,2192,RandomSearch,1,7420,4,92,172
data\chr20a.dat,2192,RandomWalk,1,6634,515,515,171
data\chr20a.dat,2192,Heuristic,2,10112,0,0,6
data\chr20a.dat,2192,Greedy,2,3262,20,839,179
data\chr20a.dat,2192,Steepest,2,3162,11,2280,406
data\chr20a.dat,2192,RandomSearch,2,7052,5,106,336
data\chr20a.dat,2192,RandomWalk,2,6486,820,820,292
data\chr20a.dat,2192,Heuristic,3,10178,0,0,4
data\chr20a.dat,2192,Greedy,3,3292,25,713,114
data\chr20a.dat,2192,Steepest,3,3022,9,1900,372
data\chr20a.dat,2192,RandomSearch,3,6122,3,94,244
data\chr20a.dat,2192,RandomWalk,3,5670,526,526,243
data\chr20a.dat,2192,Heuristic,4,10928,0,0,4
data\chr20a.dat,2192,Greedy,4,2622,39,1319,187
data\chr20a.dat,2192,Steepest,4,3490,14,2850,345
data\chr20a.dat,2192,RandomSearch,4,5528,4,132,267
data\chr20a.dat,2192,RandomWalk,4,6776,780,780,266
data\chr20a.dat,2192,Heuristic,5,10570,0,0,4
data\chr20a.dat,2192,Greedy,5,3516,26,762,108
data\chr20a.dat,2192,Steepest,5,3324,12,2470,302
data\chr20a.dat,2192,RandomSearch,5,7114,3,112,205
data\chr20a.dat,2192,RandomWalk,5,6732,627,627,205
data\chr20a.dat,2192,Heuristic,6,9458,0,0,3
data\chr20a.dat,2192,Greedy,6,3118,38,1305,176
data\chr20a.dat,2192,Steepest,6,3216,11,2280,277
data\chr20a.dat,2192,RandomSearch,6,7516,7,124,226
data\chr20a.dat,2192,RandomWalk,6,6420,657,657,226
data\chr20a.dat,2192,Heuristic,7,10420,0,0,3
data\chr20a.dat,2192,Greedy,7,2702,37,1074,151
data\chr20a.dat,2192,Steepest,7,3114,13,2660,324
data\chr20a.dat,2192,RandomSearch,7,7590,5,118,238
data\chr20a.dat,2192,RandomWalk,7,6552,681,681,237
data\chr20a.dat,2192,Heuristic,8,10286,0,0,3
data\chr20a.dat,2192,Greedy,8,3540,25,797,112
data\chr20a.dat,2192,Steepest,8,3172,13,2660,313
data\chr20a.dat,2192,RandomSearch,8,6952,6,109,213
data\chr20a.dat,2192,RandomWalk,8,4998,636,636,212
data\chr20a.dat,2192,Heuristic,9,12806,0,0,3
data\chr20a.dat,2192,Greedy,9,3468,13,288,43
data\chr20a.dat,2192,Steepest,9,3014,14,2850,341
data\chr20a.dat,2192,RandomSearch,9,7104,5,106,192
data\chr20a.dat,2192,RandomWalk,9,6302,580,580,192
data\chr20a.dat,2192,Heuristic,10,10044,0,0,6
data\chr20a.dat,2192,Greedy,10,3264,26,1525,208
data\chr20a.dat,2192,Steepest,10,2704,11,2280,304
data\chr20a.dat,2192,RandomSearch,10,5970,4,120,261
data\chr20a.dat,2192,RandomWalk,10,7394,720,720,256
data\chr20c.dat,14142,Heuristic,1,112044,0,0,6
data\chr20c.dat,14142,Greedy,1,26504,37,971,144
data\chr20c.dat,14142,Steepest,1,23710,13,2660,358
data\chr20c.dat,14142,RandomSearch,1,70464,5,116,252
data\chr20c.dat,14142,RandomWalk,1,56586,675,675,251
data\chr20c.dat,14142,Heuristic,2,82900,0,0,4
data\chr20c.dat,14142,Greedy,2,39260,27,780,112
data\chr20c.dat,14142,Steepest,2,23424,12,2470,289
data\chr20c.dat,14142,RandomSearch,2,61592,1,101,201
data\chr20c.dat,14142,RandomWalk,2,61454,385,385,201
data\chr20c.dat,14142,Heuristic,3,95780,0,0,4
data\chr20c.dat,14142,Greedy,3,24284,36,868,128
data\chr20c.dat,14142,Steepest,3,30514,11,2280,278
data\chr20c.dat,14142,RandomSearch,3,64300,3,111,204
data\chr20c.dat,14142,RandomWalk,3,61422,588,588,203
data\chr20c.dat,14142,Heuristic,4,85660,0,0,3
data\chr20c.dat,14142,Greedy,4,28054,31,1251,178
data\chr20c.dat,14142,Steepest,4,23954,16,3230,366
data\chr20c.dat,14142,RandomSearch,4,71226,2,151,273
data\chr20c.dat,14142,RandomWalk,4,61938,831,831,272
data\chr20c.dat,14142,Heuristic,5,88586,0,0,3
data\chr20c.dat,14142,Greedy,5,22946,40,1063,151
data\chr20c.dat,14142,Steepest,5,19614,18,3610,423
data\chr20c.dat,14142,RandomSearch,5,60104,9,157,288
data\chr20c.dat,14142,RandomWalk,5,60802,734,734,288
data\chr20c.dat,14142,Heuristic,6,104974,0,0,5
data\chr20c.dat,14142,Greedy,6,30808,37,1003,195
data\chr20c.dat,14142,Steepest,6,28230,9,1900,538
data\chr20c.dat,14142,RandomSearch,6,69192,7,164,366
data\chr20c.dat,14142,RandomWalk,6,71536,922,922,366
data\chr20c.dat,14142,Heuristic,7,113390,0,0,4
data\chr20c.dat,14142,Greedy,7,22108,37,954,166
data\chr20c.dat,14142,Steepest,7,29866,17,3420,411
data\chr20c.dat,14142,RandomSearch,7,67522,7,148,289
data\chr20c.dat,14142,RandomWalk,7,59554,576,576,288
data\chr20c.dat,14142,Heuristic,8,112282,0,0,11
data\chr20c.dat,14142,Greedy,8,23100,35,938,216
data\chr20c.dat,14142,Steepest,8,25820,13,2660,513
data\chr20c.dat,14142,RandomSearch,8,73236,4,111,367
data\chr20c.dat,14142,RandomWalk,8,62272,673,673,364
data\chr20c.dat,14142,Heuristic,9,96702,0,0,6
data\chr20c.dat,14142,Greedy,9,27364,29,897,201
data\chr20c.dat,14142,Steepest,9,22428,11,2280,289
data\chr20c.dat,14142,RandomSearch,9,69296,2,135,246
data\chr20c.dat,14142,RandomWalk,9,56390,749,749,245
data\chr20c.dat,14142,Heuristic,10,93236,0,0,3
data\chr20c.dat,14142,Greedy,10,30270,33,1133,161
data\chr20c.dat,14142,Steepest,10,27744,14,2850,491
data\chr20c.dat,14142,RandomSearch,10,73216,6,118,328
data\chr20c.dat,14142,RandomWalk,10,64028,628,628,326
data\els19.dat,17212548,Heuristic,1,54160864,0,0,5
data\els19.dat,17212548,Greedy,1,21113684,47,1042,181
data\els19.dat,17212548,Steepest,1,24103890,15,2736,337
data\els19.dat,17212548,RandomSearch,1,30220340,5,121,259
data\els19.dat,17212548,RandomWalk,1,37317286,476,476,259
data\els19.dat,17212548,Heuristic,2,46891824,0,0,8
data\els19.dat,17212548,Greedy,2,21963122,71,1419,252
data\els19.dat,17212548,Steepest,2,25728652,11,2052,394
data\els19.dat,17212548,RandomSearch,2,33504162,5,182,323
data\els19.dat,17212548,RandomWalk,2,29593506,961,961,323
data\els19.dat,17212548,Heuristic,3,60649630,0,0,4
data\els19.dat,17212548,Greedy,3,22756804,48,1119,151
data\els19.dat,17212548,Steepest,3,22287504,12,2223,251
data\els19.dat,17212548,RandomSearch,3,37700896,6,119,201
data\els19.dat,17212548,RandomWalk,3,36512648,622,622,201
data\els19.dat,17212548,Heuristic,4,45390482,0,0,2
data\els19.dat,17212548,Greedy,4,20265368,45,796,110
data\els19.dat,17212548,Steepest,4,17937024,15,2736,313
data\els19.dat,17212548,RandomSearch,4,32324602,5,127,211
data\els19.dat,17212548,RandomWalk,4,34082026,643,643,211
data\els19.dat,17212548,Heuristic,5,45868580,0,0,2
data\els19.dat,17212548,Greedy,5,19640346,37,639,92
data\els19.dat,17212548,Steepest,5,19278506,18,3249,368
data\els19.dat,17212548,RandomSearch,5,34973460,2,138,230
data\els19.dat,17212548,RandomWalk,5,29096592,704,704,230
data\els19.dat,17212548,Heuristic,6,56490364,0,0,2
data\els19.dat,17212548,Greedy,6,27888430,43,1041,144
data\els19.dat,17212548,Steepest,6,26791342,15,2736,302
data\els19.dat,17212548,RandomSearch,6,39689710,5,130,223
data\els19.dat,17212548,RandomWalk,6,28933696,681,681,223
data\els19.dat,17212548,Heuristic,7,65171398,0,0,2
data\els19.dat,17212548,Greedy,7,18057498,49,1290,169
data\els19.dat,17212548,Steepest,7,18057498,11,2052,236
data\els19.dat,17212548,RandomSearch,7,31587192,7,120,202
data\els19.dat,17212548,RandomWalk,7,28501858,628,628,202
data\els19.dat,17212548,Heuristic,8,56588314,0,0,2
data\els19.dat,17212548,Greedy,8,20508428,69,1391,189
data\els19.dat,17212548,Steepest,8,17406426,14,2565,315
data\els19.dat,17212548,RandomSearch,8,35850848,4,57,304
data\els19.dat,17212548,RandomWalk,8,32750642,255,255,252
data\els19.dat,17212548,Heuristic,9,41120978,0,0,10
data\els19.dat,17212548,Greedy,9,17937024,31,955,245
data\els19.dat,17212548,Steepest,9,17937024,17,3078,706
data\els19.dat,17212548,RandomSearch,9,33895468,6,159,476
data\els19.dat,17212548,RandomWalk,9,26439248,826,826,475
data\els19.dat,17212548,Heuristic,10,60301852,0,0,5
data\els19.dat,17212548,Greedy,10,22551738,41,707,158
data\els19.dat,17212548,Steepest,10,17358264,14,2565,539
data\els19.dat,17212548,RandomSearch,10,36415716,6,125,376
data\els19.dat,17212548,RandomWalk,10,32442484,641,641,348
data\esc32a.dat,130,Heuristic,1,452,0,0,19
data\esc32a.dat,130,Greedy,1,162,46,1972,398
data\esc32a.dat,130,Steepest,1,160,20,10416,2847
data\esc32a.dat,130,RandomSearch,1,312,12,460,1623
data\esc32a.dat,130,RandomWalk,1,308,4370,4370,1622
data\esc32a.dat,130,Heuristic,2,448,0,0,7
data\esc32a.dat,130,Greedy,2,174,33,2337,774
data\esc32a.dat,130,Steepest,2,170,14,7440,1834
data\esc32a.dat,130,RandomSearch,2,306,6,364,1305
data\esc32a.dat,130,RandomWalk,2,336,3371,3371,1306
data\esc32a.dat,130,Heuristic,3,486,0,0,6
data\esc32a.dat,130,Greedy,3,164,25,2952,575
data\esc32a.dat,130,Steepest,3,162,11,5952,1293
data\esc32a.dat,130,RandomSearch,3,310,0,155,938
data\esc32a.dat,130,RandomWalk,3,294,2195,2195,935
data\esc32a.dat,130,Heuristic,4,476,0,0,15
data\esc32a.dat,130,Greedy,4,160,43,2402,652
data\esc32a.dat,130,Steepest,4,162,13,6944,1642
data\esc32a.dat,130,RandomSearch,4,356,4,332,1147
data\esc32a.dat,130,RandomWalk,4,302,3113,3113,1147
data\esc32a.dat,130,Heuristic,5,454,0,0,5
data\esc32a.dat,130,Greedy,5,152,40,2993,586
data\esc32a.dat,130,Steepest,5,148,14,7440,2068
data\esc32a.dat,130,RandomSearch,5,334,4,352,1328
data\esc32a.dat,130,RandomWalk,5,306,3411,3411,1327
data\esc32a.dat,130,Heuristic,6,430,0,0,7
data\esc32a.dat,130,Greedy,6,156,39,1488,314
data\esc32a.dat,130,Steepest,6,160,20,10416,2437
data\esc32a.dat,130,RandomSearch,6,340,5,321,1380
data\esc32a.dat,130,RandomWalk,6,314,3332,3332,1375
data\esc32a.dat,130,Heuristic,7,460,0,0,7
data\esc32a.dat,130,Greedy,7,168,30,2250,439
data\esc32a.dat,130,Steepest,7,160,12,6448,1279
data\esc32a.dat,130,RandomSearch,7,338,4,251,862
data\esc32a.dat,130,RandomWalk,7,292,2323,2323,859
data\esc32a.dat,130,Heuristic,8,478,0,0,4
data\esc32a.dat,130,Greedy,8,154,41,1886,373
data\esc32a.dat,130,Steepest,8,154,18,9424,2312
data\esc32a.dat,130,RandomSearch,8,304,5,260,1346
data\esc32a.dat,130,RandomWalk,8,316,2327,2327,1342
data\esc32a.dat,130,Heuristic,9,466,0,0,8
data\esc32a.dat,130,Greedy,9,156,33,2882,915
data\esc32a.dat,130,Steepest,9,164,15,7936,2598
data\esc32a.dat,130,RandomSearch,9,334,5,343,1760
data\esc32a.dat,130,RandomWalk,9,314,3919,3919,1757
data\esc32a.dat,130,Heuristic,10,482,0,0,7
data\esc32a.dat,130,Greedy,10,162,50,4767,1120
data\esc32a.dat,130,Steepest,10,152,17,8928,1753
data\esc32a.dat,130,RandomSearch,10,316,8,413,1441
data\esc32a.dat,130,RandomWalk,10,304,3427,3427,1436
data\esc64a.dat,116,Heuristic,1,272,0,0,16
data\esc64a.dat,116,Greedy,1,116,32,6192,2029
data\esc64a.dat,116,Steepest,1,116,15,32256,11521
data\esc64a.dat,116,RandomSearch,1,208,8,485,6799
data\esc64a.dat,116,RandomWalk,1,200,12903,12903,6775
data\esc64a.dat,116,Heuristic,2,276,0,0,17
data\esc64a.dat,116,Greedy,2,120,32,8651,3312
data\esc64a.dat,116,Steepest,2,124,11,24192,9786
data\esc64a.dat,116,RandomSearch,2,200,5,556,6559
data\esc64a.dat,116,RandomWalk,2,196,12869,12869,6550
data\esc64a.dat,116,Heuristic,3,254,0,0,14
data\esc64a.dat,116,Greedy,3,116,36,7837,2621
data\esc64a.dat,116,Steepest,3,116,13,28224,9380
data\esc64a.dat,116,RandomSearch,3,208,4,584,6004
data\esc64a.dat,116,RandomWalk,3,198,11851,11851,6000
data\esc64a.dat,116,Heuristic,4,252,0,0,13
data\esc64a.dat,116,Greedy,4,122,30,8596,2844
data\esc64a.dat,116,Steepest,4,116,13,28224,9063
data\esc64a.dat,116,RandomSearch,4,200,6,579,5962
data\esc64a.dat,116,RandomWalk,4,204,11798,11798,5953
data\esc64a.dat,116,Heuristic,5,284,0,0,12
data\esc64a.dat,116,Greedy,5,120,22,4588,1278
data\esc64a.dat,116,Steepest,5,116,10,22176,5626
data\esc64a.dat,116,RandomSearch,5,210,2,445,3458
data\esc64a.dat,116,RandomWalk,5,190,10512,10512,3452
data\esc64a.dat,116,Heuristic,6,264,0,0,8
data\esc64a.dat,116,Greedy,6,116,33,6709,1418
data\esc64a.dat,116,Steepest,6,122,12,26208,5379
data\esc64a.dat,116,RandomSearch,6,208,7,527,3425
data\esc64a.dat,116,RandomWalk,6,212,10272,10272,3398
data\esc64a.dat,116,Heuristic,7,280,0,0,7
data\esc64a.dat,116,Greedy,7,118,29,5907,1191
data\esc64a.dat,116,Steepest,7,118,11,24192,4925
data\esc64a.dat,116,RandomSearch,7,202,4,477,3063
data\esc64a.dat,116,RandomWalk,7,204,9656,9656,3058
data\esc64a.dat,116,Heuristic,8,300,0,0,6
data\esc64a.dat,116,Greedy,8,118,30,9657,2027
data\esc64a.dat,116,Steepest,8,116,13,28224,5674
data\esc64a.dat,116,RandomSearch,8,216,6,530,3856
data\esc64a.dat,116,RandomWalk,8,188,9792,9792,3850
data\esc64a.dat,116,Heuristic,9,254,0,0,10
data\esc64a.dat,116,Greedy,9,116,24,6214,1676
data\esc64a.dat,116,Steepest,9,118,11,24192,6801
data\esc64a.dat,116,RandomSearch,9,206,4,410,4243
data\esc64a.dat,116,RandomWalk,9,198,8400,8400,4238
data\esc64a.dat,116,Heuristic,10,266,0,0,11
data\esc64a.dat,116,Greedy,10,116,31,5201,1683
data\esc64a.dat,116,Steepest,10,122,14,30240,9829
